Size,Price,Number Available
14,$240,1
14,$243,6
14,$244,2
14,$245,3
14,$246,2
14,$249,1
14,$250,6
13,$255,1
13,$257,1
13,$258,1
13,$259,1
12.5,$259,1
14,$260,3
13,$260,4
12.5,$260,2
12.5,$265,1
12,$265,2
14,$268,1
14,$269,1
12,$269,1
13,$259,1
12.5,$259,1
14,$260,3
13,$260,4
12.5,$260,2
12.5,$265,1
12,$265,2
14,$268,1
14,$269,1
12,$269,1
