Size,Price,Number Available
14,$1,000,1
5.5,$915,1
5,$900,1
8.5,$855,1
13,$850,1
12.5,$850,1
8.5,$850,1
4.5,$800,1
6,$800,1
7,$800,1
9,$771,1
9,$770,1
9.5,$755,1
10.5,$755,1
11.5,$751,1
10.5,$750,1
8,$750,1
11,$750,1
8.5,$740,1
11,$726,1
10.5,$725,1
11.5,$725,1
10,$720,1
10,$703,1
5,$700,1
8,$700,1
6,$700,1
9.5,$700,1
9,$688,1
9.5,$688,1
9.5,$687,1
14,$675,1
10,$657,1
14.5,$650,1
6,$650,1
15,$635,1
16,$625,1
17,$625,1
11,$622,1
4.5,$605,1
4.5,$605,1
11.5,$601,1
7.5,$601,1
12.5,$600,1
11,$600,1
10,$600,1
7.5,$600,1
12,$591,1
12,$590,1
8,$575,1
