Size,Price,Number Available
6.5,$730,1
6.5,$720,1
6.5,$700,2
6.5,$699,1
7.5,$690,1
6.5,$683,1
7.5,$680,1
6.5,$674,1
6.5,$673,1
6,$661,2
11,$660,1
7,$655,1
7.5,$655,1
15,$650,1
7.5,$650,1
11,$650,1
6,$648,1
6,$647,1
11,$630,1
11,$628,1
11,$660,1
7,$655,1
7.5,$655,1
15,$650,1
7.5,$650,1
11,$650,1
6,$648,1
6,$647,1
11,$630,1
11,$628,1
