Size,Price,Number Available
9,$752,1
10.5,$527,1
10,$490,1
10,$482,1
11,$450,1
10,$401,1
7.5,$400,1
10,$400,1
8,$400,1
11,$350,1
8,$338,1
10,$270,1
14,$250,1
13,$225,1
7,$180,1
9.5,$100,1
