,Date,Time,Size,Price
0,"Sunday, October 7, 2018",4:10 PM EST,10.5W,$625
1,"Monday, November 20, 2017",1:01 PM EST,7W,$600
2,"Tuesday, January 17, 2017",2:45 PM EST,8W,$285
